# Tab-separated values. Open with a spreadsheet app such as Excel.	
	
# READ-ONLY. DO NOT MODIFY OR DELETE.	
	
#Template Name	#Size (bytes)
GcCreatureDataTable	0x0000000000000010
GcCreatureFilename	0x0000000000000090
GcCreatureFilenameTable	0x0000000000000010
GcCreatureFootParticleData	0x0000000000000010
GcCreatureFootParticleSingleData	0x0000000000000020
GcCreatureFullBodyIKComponentData	0x0000000000000018
GcCreatureGlobals	0x0000000000000690
GcCreatureGroupDescription	0x0000000000000020
GcCreatureGroupProbability	0x0000000000000018
GcCreatureGroups	0x0000000000000004
GcCreatureHealthData	0x0000000000000050
GcCreatureIkData	0x0000000000000104
GcCreatureIkType	0x0000000000000004
GcCreatureInfo	0x0000000000000418
GcCreatureLegIKComponentData	0x0000000000000004
GcCreatureMoveAnimData	0x0000000000000040
GcCreatureMovementData	0x0000000000000028
GcCreatureNearbyEvent	0x0000000000000020
GcCreatureRoleData	0x0000000000000490
GcCreatureRoleDataTable	0x0000000000000010
GcCreatureRoleDescription	0x0000000000000040
GcCreatureRoleDescriptionTable	0x0000000000000020
GcCreatureRoleFilename	0x0000000000000090
GcCreatureRoleFilenameList	0x0000000000000010
GcCreatureRoleFilenameTable	0x00000000000000F0
GcCreatureRoles	0x0000000000000004
GcCreatureSizeClasses	0x0000000000000004
GcCreatureSpawnComponentData	0x0000000000000390
GcCreatureSpawnData	0x0000000000000598
GcCreatureStupidName	0x0000000000000028
GcCreatureStupidNameTable	0x0000000000000090
GcCreatureSwarmData	0x0000000000000040
GcCreatureTypes	0x0000000000000004
GcCreatureVocalData	0x00000000000000A8
GcCreatureVocalSoundData	0x0000000000000028
GcCustomInventoryComponentData	0x0000000000000028
GcDebrisData	0x0000000000000098
GcDebugOptions	0x0000000000000D6C
GcDefaultMissionItemsTable	0x0000000000000040
GcDefaultMissionProduct	0x0000000000000004
GcDefaultMissionProductEnum	0x0000000000000004
GcDefaultMissionSubstance	0x0000000000000004
